Time,neem,gisp2,wais
0.00,5.27E-81,2.06E-56,1.15E-73
0.50,2.68E-64,1.34E-42,4.59E-57
1.00,2.00E-55,1.50E-35,1.52E-48
1.50,1.55E-49,5.39E-31,5.17E-43
2.00,3.51E-45,1.08E-27,5.49E-39
2.50,9.45E-42,3.91E-25,7.48E-36
3.00,6.17E-39,4.62E-23,2.66E-33
3.50,1.48E-36,2.48E-21,3.69E-31
4.00,1.68E-34,7.41E-20,2.56E-29
4.50,1.07E-32,1.41E-18,1.04E-27
5.00,4.32E-31,1.89E-17,2.77E-26
5.50,1.20E-29,1.89E-16,5.23E-25
6.00,2.42E-28,1.48E-15,7.39E-24
6.50,3.77E-27,9.49E-15,8.22E-23
7.00,4.69E-26,5.12E-14,7.43E-22
7.50,4.80E-25,2.38E-13,5.63E-21
8.00,4.14E-24,9.76E-13,3.66E-20
8.50,3.07E-23,3.57E-12,2.08E-19
9.00,2.00E-22,1.18E-11,1.05E-18
9.50,1.15E-21,3.58E-11,4.74E-18
10.00,6.00E-21,1.00E-10,1.96E-17
10.50,2.83E-20,2.62E-10,7.42E-17
11.00,1.22E-19,6.44E-10,2.61E-16
11.50,4.90E-19,1.49E-09,8.56E-16
12.00,1.82E-18,3.28E-09,2.64E-15
12.50,6.35E-18,6.88E-09,7.68E-15
13.00,2.08E-17,1.38E-08,2.12E-14
13.50,6.46E-17,2.67E-08,5.59E-14
14.00,1.90E-16,4.97E-08,1.41E-13
14.50,5.34E-16,8.94E-08,3.41E-13
15.00,1.43E-15,1.56E-07,7.93E-13
15.50,3.69E-15,2.65E-07,1.78E-12
16.00,9.15E-15,4.37E-07,3.88E-12
16.50,2.19E-14,7.05E-07,8.18E-12
17.00,5.05E-14,1.11E-06,1.68E-11
17.50,1.13E-13,1.71E-06,3.34E-11
18.00,2.45E-13,2.58E-06,6.50E-11
18.50,5.18E-13,3.83E-06,1.24E-10
19.00,1.06E-12,5.58E-06,2.29E-10
19.50,2.13E-12,7.99E-06,4.17E-10
20.00,4.17E-12,1.13E-05,7.44E-10
20.50,7.98E-12,1.57E-05,1.30E-09
21.00,1.49E-11,2.15E-05,2.23E-09
21.50,2.74E-11,2.91E-05,3.77E-09
22.00,4.93E-11,3.89E-05,6.27E-09
22.50,8.70E-11,5.15E-05,1.03E-08
23.00,1.51E-10,6.73E-05,1.66E-08
23.50,2.57E-10,8.71E-05,2.63E-08
24.00,4.32E-10,1.12E-04,4.13E-08
24.50,7.13E-10,1.42E-04,6.40E-08
25.00,1.16E-09,1.79E-04,9.80E-08
25.50,1.86E-09,2.23E-04,1.48E-07
26.00,2.95E-09,2.76E-04,2.22E-07
26.50,4.62E-09,3.40E-04,3.28E-07
27.00,7.13E-09,4.15E-04,4.81E-07
27.50,1.09E-08,5.03E-04,6.97E-07
28.00,1.64E-08,6.06E-04,1.00E-06
28.50,2.44E-08,7.25E-04,1.42E-06
29.00,3.61E-08,8.64E-04,2.01E-06
29.50,5.27E-08,1.02E-03,2.81E-06
30.00,7.61E-08,1.20E-03,3.89E-06
30.50,1.09E-07,1.41E-03,5.34E-06
31.00,1.55E-07,1.64E-03,7.29E-06
31.50,2.18E-07,1.91E-03,9.86E-06
32.00,3.03E-07,2.20E-03,1.32E-05
32.50,4.20E-07,2.53E-03,1.76E-05
33.00,5.76E-07,2.90E-03,2.33E-05
33.50,7.83E-07,3.31E-03,3.07E-05
34.00,1.06E-06,3.76E-03,4.00E-05
34.50,1.42E-06,4.26E-03,5.19E-05
35.00,1.89E-06,4.81E-03,6.68E-05
35.50,2.50E-06,5.41E-03,8.55E-05
36.00,3.28E-06,6.06E-03,1.09E-04
36.50,4.29E-06,6.78E-03,1.37E-04
37.00,5.56E-06,7.55E-03,1.73E-04
37.50,7.17E-06,8.38E-03,2.16E-04
38.00,9.20E-06,9.29E-03,2.68E-04
38.50,1.17E-05,1.03E-02,3.30E-04
39.00,1.49E-05,1.13E-02,4.06E-04
39.50,1.87E-05,1.24E-02,4.95E-04
40.00,2.35E-05,1.36E-02,6.02E-04
40.50,2.93E-05,1.49E-02,7.27E-04
41.00,3.65E-05,1.62E-02,8.74E-04
41.50,4.51E-05,1.76E-02,1.05E-03
42.00,5.54E-05,1.91E-02,1.25E-03
42.50,6.79E-05,2.07E-02,1.48E-03
43.00,8.28E-05,2.23E-02,1.74E-03
43.50,1.01E-04,2.41E-02,2.04E-03
44.00,1.22E-04,2.58E-02,2.39E-03
44.50,1.46E-04,2.77E-02,2.78E-03
45.00,1.76E-04,2.95E-02,3.22E-03
45.50,2.10E-04,3.13E-02,3.71E-03
46.00,2.50E-04,3.31E-02,4.27E-03
46.50,2.96E-04,3.48E-02,4.88E-03
47.00,3.51E-04,3.64E-02,5.56E-03
47.50,4.13E-04,3.77E-02,6.31E-03
48.00,4.85E-04,3.88E-02,7.13E-03
48.50,5.67E-04,3.96E-02,8.02E-03
49.00,6.62E-04,4.02E-02,8.99E-03
49.50,7.70E-04,4.06E-02,1.00E-02
50.00,8.93E-04,4.07E-02,1.11E-02
50.50,1.03E-03,4.06E-02,1.23E-02
51.00,1.19E-03,4.03E-02,1.35E-02
51.50,1.37E-03,3.99E-02,1.48E-02
52.00,1.57E-03,3.93E-02,1.61E-02
52.50,1.79E-03,3.87E-02,1.75E-02
53.00,2.05E-03,3.79E-02,1.89E-02
53.50,2.33E-03,3.71E-02,2.03E-02
54.00,2.64E-03,3.63E-02,2.16E-02
54.50,2.99E-03,3.54E-02,2.30E-02
55.00,3.38E-03,3.44E-02,2.43E-02
55.50,3.81E-03,3.35E-02,2.56E-02
56.00,4.29E-03,3.25E-02,2.68E-02
56.50,4.81E-03,3.16E-02,2.79E-02
57.00,5.39E-03,3.06E-02,2.90E-02
57.50,6.03E-03,2.96E-02,2.99E-02
58.00,6.72E-03,2.87E-02,3.08E-02
58.50,7.48E-03,2.78E-02,3.16E-02
59.00,8.31E-03,2.68E-02,3.22E-02
59.50,9.21E-03,2.59E-02,3.28E-02
60.00,1.02E-02,2.51E-02,3.33E-02
60.50,1.12E-02,2.42E-02,3.36E-02
61.00,1.24E-02,2.33E-02,3.39E-02
61.50,1.36E-02,2.25E-02,3.40E-02
62.00,1.49E-02,2.17E-02,3.41E-02
62.50,1.63E-02,2.09E-02,3.41E-02
63.00,1.78E-02,2.02E-02,3.40E-02
63.50,1.93E-02,1.95E-02,3.39E-02
64.00,2.09E-02,1.87E-02,3.36E-02
64.50,2.25E-02,1.80E-02,3.33E-02
65.00,2.42E-02,1.74E-02,3.30E-02
65.50,2.59E-02,1.67E-02,3.26E-02
66.00,2.75E-02,1.61E-02,3.21E-02
66.50,2.91E-02,1.55E-02,3.16E-02
