year,ch4_growth,ch4_growth_detrended
1984,12.89,5.702439024390243
1985,12.19,5.002439024390242
1986,12.88,5.692439024390243
1987,11.46,4.272439024390243
1988,10.7,3.5124390243902415
1989,11.2,4.0124390243902415
1990,8.61,1.4224390243902416
1991,14.04,6.852439024390241
1992,2.42,-4.767560975609758
1993,3.86,-3.327560975609758
1994,7.25,0.06243902439024218
1995,3.86,-3.327560975609758
1996,2.47,-4.717560975609757
1997,6.35,-0.8375609756097582
1998,12.12,4.932439024390241
1999,2.27,-4.917560975609758
2000,-1.34,-8.527560975609758
2001,-0.67,-7.857560975609758
2002,3.18,-4.007560975609758
2003,4.79,-2.397560975609758
2004,-4.74,-11.927560975609758
2005,0.32,-6.8675609756097575
2006,1.84,-5.347560975609758
2007,7.87,0.6824390243902423
2008,6.51,-0.677560975609758
2009,4.7,-2.4875609756097576
2010,5.11,-2.0775609756097575
2011,5.03,-2.1575609756097576
2012,4.98,-2.2075609756097574
2013,5.62,-1.5675609756097577
2014,12.74,5.552439024390242
2015,10.02,2.8324390243902418
2016,7.07,-0.11756097560975753
2017,6.89,-0.29756097560975814
2018,8.73,1.5424390243902426
2019,9.6,2.412439024390242
2020,14.84,7.652439024390242
2021,17.69,10.502439024390243
2022,12.96,5.772439024390243
2023,8.63,1.442439024390243
2024,7.75,0.5624390243902422
