year,ch4,ch4_detrended
1984,1644.84,-24.764076655055987
1985,1657.29,-17.996689895474447
1986,1670.09,-10.879303135892997
1987,1682.7,-3.951916376309555
1988,1693.21,0.8754703832719315
1989,1704.53,6.512857142853363
1990,1714.47,10.770243902434913
1991,1724.76,15.377630662018191
1992,1735.48,20.415017421599714
1993,1736.48,15.73240418118121
1994,1742.05,15.619790940762641
1995,1748.88,16.76717770034611
1996,1751.3,13.504564459927451
1997,1754.51,11.031951219508983
1998,1765.54,16.37933797909045
1999,1772.3,17.456724738671937
2000,1773.22,12.694111498255324
2001,1771.29,5.081498257836756
2002,1772.66,0.7688850174183699
2003,1777.33,-0.2437282230002893
2004,1777.02,-6.23634146341692
2005,1774.25,-14.688954703835407
2006,1774.94,-19.681567944253857
2007,1781.38,-18.924181184672307
2008,1787.01,-18.97679442508911
2009,1793.54,-18.129407665507642
2010,1798.89,-18.46202090592601
2011,1803.09,-19.944634146344697
2012,1808.12,-20.59724738676141
2013,1813.42,-20.979860627179733
2014,1822.54,-17.542473867598346
2015,1834.21,-11.555087108016778
2016,1843.12,-8.327700348435428
2017,1849.58,-7.550313588852077
2018,1857.34,-5.472926829270591
2019,1866.55,-1.9455400696890592
2020,1878.72,4.541846689892509
2021,1894.81,14.949233449475742
2022,1910.92,25.376620209057364
2023,1921.5,30.274006968638787
2024,1929.63,32.72139372822039
