gas_age_ce,mean_concentration_ppb
1823.6,819.7915059
1818.1,801.7739806
1815.3,799.2103757
1812.3,787.1903485
1807.4,785.8963119
1799.5,785.0619791
1796.6,778.5145242
1790.1,783.8239902
1785.4,787.4108963
1781.7,770.5222674
1779.6,781.2675595
1771.7,768.586184
1768.7,764.7717852
1759.9,761.768625
1756.9,756.4935952
1749.3,764.9899645
1746.2,760.0623621
1743.6,755.6483616
1737.9,753.4565408
1731.8,742.9506698
1727.8,740.8617567
1715.8,731.1150507
1702.6,734.1879827
1685.9,742.1335831
1672.3,740.0926845
1661.1,731.797601
1644.2,734.5190977
1631.5,735.9551097
1613.7,728.5961027
1599.9,725.1810339
1587.3,720.8183977
1579.1,729.4104748
1574.7,732.8690792
1565.9,748.765185
1562.2,761.3192877
1558.8,763.7924265
1546.9,764.2264622
1538.9,759.5527911
1531.6,758.7466228
1515.1,748.4088119
1501.2,741.6867525
1484.5,730.3587469
1476.1,720.9666316
1472.3,718.2534839
1463.4,718.1789122
1448.1,723.8340271
1442.8,722.3759437
1440.6,723.4371628
1434.1,721.2604311
1423.1,714.0037819
1420.5,715.037475
1410,719.2787241
1405.4,722.4609454
1405,722.9894076
1389.5,729.5715375
1374.6,729.7268389
1358,727.8083927
1349.7,719.0302269
1341,719.0391633
1335.3,730.0653124
1327.6,731.5424043
1320.8,736.4970098
1312.7,735.5184722
1305.2,737.2107208
1296.8,726.858186
1289,724.6209488
1273,726.1422012
1261.2,720.9604684
1243.9,717.1886708
1230,716.5436268
1218,724.0459713
1208.8,731.8346113
1203.3,733.3831416
1196.1,737.1534418
1190.2,739.2195949
1189.7,739.3926658
1172.6,738.0935256
1159.2,738.6679306
1149.6,739.9620909
1125.9,731.376715
1116.5,730.9124886
1102,729.2332961
1087.9,726.9821243
1080.1,721.3455704
1072.4,713.0089914
1069.3,710.9406743
1061.6,726.0679515
1055.1,726.6989609
1046.7,730.0846096
1040.3,727.3839441
1029,725.0917911
1022.9,722.1755329
1021.2,728.2575253
1004.6,717.0917246
991.8,711.4799513
984.8,708.5718072
972.4,703.9230303
957.9,694.8863032
957.4,699.4756055
943.8,691.7409966
925.6,700.9757361
914.2,695.1931098
901,693.4632485
878.2,696.3255573
859.2,689.3400134
843.4,693.8394177
820.7,694.5854205
810.8,683.9245506
791.1,667.3698937
785.9,666.1597511
708.7,694.0742162
692.6,683.2864573
675,679.095874
657,676.0813399
643.3,679.0420927
637,676.0054485
632.7,676.7875713
625.8,674.4555205
611.4,691.3148058
598.7,694.1704556
585,697.5439897
559.7,703.8733774
555.9,702.0986243
536.4,695.1027074
532.4,689.8821429
524,677.0887095
512.6,675.1780066
509.9,677.7344601
501.5,690.8969716
490.3,683.3463219
480.9,678.9558044
471.4,670.3186013
450.8,674.1732443
436.7,675.6123296
420.7,665.8684645
407,659.3843207
400.4,667.5850322
392.4,673.4482354
377.7,682.9924368
367.2,683.1283158
351.1,680.749786
338,683.461916
317.4,677.9272005
297.6,677.8727798
290.2,679.0699009
281.7,690.1360367
264.5,692.0494712
251.9,685.6162872
234.9,690.6515203
220.7,688.5688337
207.8,678.1754589
192.7,676.3860679
183.7,682.9467736
175,683.6789351
165.8,690.4123157
157.1,678.7839151
149,683.421369
145.7,689.2623274
133,676.667384
129.3,684.6240039
123.3,687.4586202
115.6,684.7540421
103.7,677.7128783
90.9,674.8407018
79.3,674.1435872
65.7,665.9628556
51.8,659.8256252
30.9,657.6805023
15.6,652.0179831
13.4,651.1987087
6.1,661.0729842
-0.5,661.3522967
-2,664.3670553
-8.6,675.1443542
-13.6,681.6689782
-15.7,680.4314268
-18.8,677.3287531
-23.7,667.9960226
-26.4,669.4224664
-30.4,669.5079126
-33.3,662.7464574
-47.6,661.6544109
-58.1,656.7249606
-63.6,654.0451771
-86.2,655.446227
-104.6,656.5832749
-114.7,654.8764031
-133.2,655.5959351
-142.1,659.2628799
-155.6,649.9909224
-171.2,645.6377802
-181.9,646.5064185
-194.8,651.0513288
-203.5,655.6577339
-219.2,653.060343
-224.3,652.9316785
-231,651.0144462
-240.6,645.8096482
-252.8,652.0367666
-256,657.8099303
-271.3,668.6030261
-286.1,668.3029922
-293.3,669.9976652
-300.7,657.2124387
-313.4,647.2251384
-328.7,647.767993
-334.2,641.1719189
-339.6,640.3537566
-348.1,642.5332776
-357.1,650.7067818
-375.5,656.7054725
-378.9,656.6912476
-383.7,664.9320766
-386.6,657.761506
-389,661.3248402
-393.7,657.5006617
-403.4,654.788435
-410.2,663.1480529
-425.2,657.1278729
-442.5,651.5376127
-452.1,650.2776914
-458.6,645.4219368
-477.8,643.1036177
-498.4,642.0085583
-523.5,644.4072924
-543,641.4241346
-562.8,646.2293369
-575.4,649.2214375
-577,640.1841475
-589.4,634.2570044
-603.1,635.6232969
-616.9,637.7880826
-633.8,641.9181414
-650.3,649.4894105
-664.3,647.3790722
-677.1,644.3360532
-689.8,645.9523989
-708.4,652.2814138
-721.5,653.259333
-728.5,645.1250527
-735.2,643.3228801
-741.6,641.5803644
-750.3,634.2787055
-763.6,637.695256
-781.9,638.2733281
-789.9,640.5047774
-801.8,648.4970159
