Reconstructed record of the d13CH4 of atmosphere over Greenland	
"from the NEEM ice core.  Data are from Sapart et al., 2012 Nature V490, pg 85-90."	
Natural and anthropogenic variations in methane sources during the past two millennia	
Gas Age (AD)	d13CH4 (VPDB)
1761	-49.43
1552	-48.01
1341	-48.04
1132	-47.87
928	-47.29
720	-47.9
510	-47.96
305	-47.92
110	-47.11
-94	-47.35
1676	-49.09
1471	-47.69
1052	-47.38
842	-47.89
637	-47.92
430	-47.88
223	-47.29
29	-47.21
-495	-47.69
1803	-49.82
1718	-49.24
1637	-48.64
1513	-48.16
1428	-47.69
1300	-48.06
1216	-48.06
1094	-47.34
1009	-47.2
884	-47.57
799	-48.06
677	-48.09
596	-47.97
469	-48.73
387	-47.98
268	-47.75
187	-47.08
68	-47.13
-689	-47.29
1594	-48.27
1384	-47.72
1173	-48.21
964	-47.2
761	-48.21
554	-47.86
346	-47.54
147	-47.35
-54	-47.78
