# South Pole Ice Core 52,000 Year SP19 Gas Age Chronology and Methane Data
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/31532 
#       Description: NOAA Landing Page
# Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/icecore/antarctica/sp19methane.txt 
#       Description: NOAA location of the template
#
# Original_Source_URL:  
#       Description:
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Data Type: Ice Cores
#
# Dataset DOI: 
#
# Parameter_Keywords: age control, atmospheric gas
#--------------------
# Contribution_Date
#	Date: 2020-10-09
#--------------------
# File_Last_Modified_Date
#	Date: 2020-10-09
#--------------------
# Title
#	Study_Name: South Pole Ice Core 52,000 Year SP19 Gas Age Chronology and Methane Data 
#--------------------
# Investigators
#	Investigators: Epifanio, J.A.; Brook, E.J.; Buizert, C.; Edwards, J.S.; Sowers, T.A.; Kahle, E.C.; Severinghaus, J.P.; Steig, E.J.; Winski, D.A.; Osterberg, E.C.; Fudge, T.J.; Aydin, M.; Hood, E.; Kalk, M.; Kreutz, K.J.; Ferris, D.G.; Kennedy, J.A.  
#--------------------
# Description_Notes_and_Keywords
#	Description: The SP19 gas age chronology for the South Pole Ice Core, plus atmospheric methane concentration data, for the past 52,000 years. 
#--------------------
# Publication 
#	Authors: Jenna A. Epifanio, Edward J. Brook, Christo Buizert, Jon S. Edwards, Todd A. Sowers, Emma C. Kahle, Jeffrey P. Severinghaus, Eric J. Steig, Dominic A. Winski, Erich C. Osterberg, Tyler J. Fudge, Murat Aydin, Ekaterina Hood, Michael Kalk, Karl J. Kreutz, David G. Ferris, and Joshua A. Kennedy 
#	Published_Date_or_Year: 2020-06-04     
#	Published_Title: The SP19 chronology for the South Pole Ice Core - Part 2: gas chronology, Delta-age, and smoothing of atmospheric records 
#	Journal_Name: Climate of the Past Discussions
#	Volume: 
#	Edition: 
#	Issue: 
#	Pages:
#	Report_Number: 
#	DOI: 10.5194/cp-2020-71
#	Online_Resource: https://cp.copernicus.org/preprints/cp-2020-71/
#	Full_Citation: 
#	Abstract: A new ice core drilled at the South Pole provides a 54,000-year paleoenvironmental record including the composition of the past atmosphere. This paper describes the SP19 chronology for the South Pole atmospheric gas record and complements a previous paper (Winski et al., 2019) describing the SP19 ice chronology. The gas chronology is based on a discrete methane (CH4) record with 20- to 190-year resolution. To construct the gas time scale abrupt changes in atmospheric CH4 during the glacial period and centennial CH4 variability during the Holocene were used to synchronize the South Pole gas record with analogous data from the West Antarctic Ice Sheet Divide ice core. Stratigraphic matching based on visual optimization was verified using an automated matching algorithm. The South Pole ice core recovers all expected changes in CH4 based on previous records. Smoothing of the atmospheric record due to gas transport in the firn is evident but relatively minor, despite the deep lock-in depth in the modern South Pole firn column. The new gas chronology, in combination with the existing ice age scale from Winski et al. (2019), allows a model-independent reconstruction of the gas age-ice age difference through the whole record, which will be useful for testing firn densification models.
#------------------
# Funding_Agency 
#	Funding_Agency_Name: US National Science Foundatation
#	Grant: 1443472,1643722,1443464,180415,1443336,1143105,1141839,1443710,1142517,1443470,1443397
#------------------
# Site_Information 
#	Site_Name: South Pole Ice Core
#	Location: Antarctica
#	Country:  
#	Northernmost_Latitude: -89.99
# 	Southernmost_Latitude: -89.99
# 	Easternmost_Longitude: -99.16
# 	Westernmost_Longitude: -99.16
# 	Elevation: 2835
#------------------
# Data_Collection   
#	Collection_Name: SP14CH4
#	Earliest_Year: 52586
#	Most_Recent_Year: -65
#	Time_Unit: Cal. Year BP
#	Core_Length: 1751
#	Notes: 
#------------------
# Chronology_Information
#	Chronology: 
# 	
#----------------
# Variables 
#
# Data variables follow are preceded by "##" in columns one and two.
# Data line variables format:  one per line, shortname-tab-variable components (what, material, error, units, seasonality, data type,detail, method, C or N for Character or Numeric data, free text) 
#
## depth_m	depth, , , meter, , ice cores, , ,N,
## age_calBP	gas age, , , calendar year before present, , ice cores, , ,N, SP19 Gas Age
## ch4_ppb	methane, bulk atmosphere, , parts per billion, ,ice cores,,,N,
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values:  
#
depth_m	age_calBP	ch4_ppb
130.20	113.00	752.26
131.24	122.07	752.63
133.04	143.75	737.22
134.97	166.14	724.74
136.26	184.36	713.89
138.38	210.02	697.24
140.34	234.89	696.68
142.34	261.17	697.41
144.21	284.40	693.88
146.25	309.16	686.06
148.26	337.52	689.29
149.96	358.65	694.77
151.27	376.92	700.17
153.26	404.83	703.98
154.24	417.95	694.30
155.47	434.75	698.37
157.04	460.89	685.66
159.21	491.82	685.14
161.26	522.44	678.59
162.20	535.55	675.47
163.04	548.27	678.78
164.98	575.91	682.75
167.26	609.36	680.81
169.04	635.31	682.57
170.13	650.73	678.82
171.26	667.54	685.39
173.04	694.29	682.50
175.34	724.44	679.61
177.26	753.41	681.58
178.12	764.83	678.83
179.05	777.03	682.30
181.04	804.22	692.02
183.05	829.32	681.71
185.43	861.52	681.23
186.22	871.11	680.09
187.04	882.94	677.69
189.24	914.43	675.11
190.72	933.13	671.74
193.05	964.54	677.47
194.12	979.67	665.42
195.54	998.53	674.14
197.00	1018.42	656.40
199.05	1044.49	655.50
201.05	1075.95	653.35
202.12	1090.31	652.00
205.06	1129.17	643.10
207.07	1154.22	639.94
209.05	1180.50	640.36
210.12	1195.56	646.24
213.05	1235.64	653.39
215.60	1268.42	643.51
218.14	1303.50	643.15
219.27	1318.91	646.26
221.05	1341.71	669.56
223.05	1369.52	656.99
226.20	1410.42	638.16
227.05	1422.17	647.35
229.50	1458.11	635.84
231.22	1484.87	637.65
233.05	1511.95	648.19
234.12	1526.12	623.81
235.07	1537.15	631.19
237.06	1561.40	636.42
239.00	1580.51	643.14
242.15	1614.26	635.87
243.03	1626.67	642.77
245.34	1651.00	645.56
246.24	1660.81	642.97
247.05	1670.73	659.82
249.24	1696.10	647.60
250.30	1708.89	632.86
253.06	1742.72	642.33
255.55	1769.72	635.25
257.04	1788.19	634.94
258.12	1800.79	634.23
259.02	1812.26	636.29
261.28	1845.18	628.08
263.08	1868.99	617.59
265.36	1898.16	614.86
266.12	1909.02	611.65
267.16	1924.47	611.65
269.48	1959.15	625.63
271.35	1990.31	619.24
273.27	2018.96	609.10
274.12	2030.58	604.01
275.35	2052.29	610.39
277.04	2078.25	612.15
279.30	2109.06	604.51
281.01	2133.72	609.93
282.11	2151.61	611.74
283.53	2171.53	612.33
285.60	2203.16	619.17
287.01	2225.07	622.26
289.05	2256.89	605.00
290.13	2273.32	598.03
291.27	2291.14	606.67
293.05	2321.67	611.78
295.35	2362.84	607.67
297.15	2392.61	605.90
298.13	2407.66	598.13
299.05	2423.89	596.73
301.22	2459.73	596.32
303.27	2493.62	593.04
305.35	2530.80	592.82
307.22	2562.54	594.50
309.27	2599.45	602.49
311.35	2636.20	598.79
313.22	2667.08	593.23
315.60	2704.94	592.08
317.05	2730.74	597.27
319.22	2763.20	595.46
321.51	2801.29	596.75
323.05	2826.05	593.69
325.31	2861.72	588.19
327.27	2891.94	584.35
329.05	2919.83	581.45
331.20	2949.92	592.25
337.22	3038.38	583.93
341.51	3096.78	597.11
343.12	3120.91	577.42
349.12	3204.47	582.04
355.09	3288.95	585.89
360.97	3369.11	584.96
361.95	3382.07	590.77
363.95	3412.24	584.53
365.75	3437.21	580.43
367.23	3457.63	586.60
368.95	3478.89	592.76
370.95	3506.97	588.03
373.20	3539.75	579.35
375.57	3572.24	581.11
377.00	3591.51	582.06
379.23	3623.28	590.26
381.27	3651.91	597.64
382.95	3673.99	589.83
385.14	3705.38	574.62
387.00	3732.42	584.69
388.87	3756.13	589.39
391.12	3789.41	589.67
392.75	3814.55	605.02
394.95	3848.00	603.31
397.12	3881.90	586.63
398.95	3909.46	596.63
400.93	3938.59	593.52
403.12	3969.88	590.16
404.95	3996.99	583.03
406.93	4024.67	578.80
410.05	4072.04	577.43
412.95	4111.72	574.00
415.12	4141.46	570.58
416.95	4170.46	577.02
418.87	4195.24	573.45
421.19	4228.43	577.62
422.95	4254.08	580.81
424.87	4282.89	585.11
427.12	4319.33	579.08
428.95	4349.09	582.90
430.90	4380.85	584.53
433.18	4417.61	584.86
434.75	4441.71	588.27
436.95	4477.15	579.04
439.36	4517.66	572.73
440.96	4541.17	579.59
442.96	4571.19	577.76
445.01	4602.42	572.03
446.02	4617.73	584.12
449.25	4665.94	590.44
451.17	4694.68	566.71
453.28	4724.28	562.51
454.64	4744.26	561.73
457.16	4779.10	570.70
458.95	4804.07	572.98
460.95	4829.70	569.26
463.20	4862.87	578.03
469.16	4947.60	580.56
470.95	4972.23	585.09
472.87	4997.83	582.76
